Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
WEX,France,776.3333333333334,3.922786316824509,4683.799999999999,2735.634204440729,41.28582829098946,31509.75,491.8778333580426,66.59833333333333,1485.799763014323,22.309864055872115,1443.8803333333333,733.41,9523.900891666666,804.983546,1028.906283,114.32545900000001,183.35614966666665,24.507019666666665,230.03557966666665,578.2831626666666,6.593657266273037,1.1040720760033296,17.199431913509656,11.143769746153309,10.0515590320133,57.14285714277092,30.83076158062879,26.839423944741228,171.22666821915433,13.573302860392536,28.751303370399,6.902188471425684,2.4189843338927557,9.290973031294005
WEX,Italy,691.6666666666666,7.707488214011622,4905.166666666667,2113.3333333333335,34.24720546547007,16312,268.24372305875784,61.708333333333336,1101.4491726595052,17.849277612307983,2082.8863166666665,235.24711533333334,6378.417771,367.280676,1200.1578749999999,22.921098333333333,285.067024,6.380160666666666,530.7829459999999,201.58917966666664,3.0592682571755567,1.616854392158997,18.021110354564218,8.612354559694706,5.235904397874473,63.67262689756028,42.71242792070722,11.25387468481508,232.12579812019064,19.592993372334476,19.246379170571053,2.2089036346534208,1.1013081015207637,6.774276824411731
WEX,Portugal,197,9.49602122015915,642.3000000000001,445.35080949821867,42.81254804789831,3175.5,305.2528689358927,10.384048666666667,139.6865143551943,13.452028090314641,280.791,209.132843017578,861.4596666666666,139.20871933333333,217.48353033333333,41.209292,1.5347609999999998,5.356421999999999,61.150281,157.76064366666665,3.0659147764386607,0.6653800994036341,2.3574385903884774,1.8120320940318981,1.0259979540563562,63.31923890055923,43.91769018082499,52.18325061867066,139.2610020623485,2.6399684510706183,2.5980386833409805,1.9644382595728136,0.41609907073465124,7.567731250603223
WEX,Spain,975.6666666666666,5.416569699790552,3883.3333333333335,700,15.131956279195489,5455.950000000001,117.38625140803376,46.12713833333333,746.5148947120142,16.183854487512235,2349.976,66.49262566666665,3181.5335,194.80714366666666,853.1571483333333,33.812108333333335,154.62294933333337,9.066705,1332.2694373333334,15.585197333333333,1.3235440782812509,3.033952866780286,14.266654224401833,2.8481422706999755,1.7618002634474186,23.204419889502763,60.585809945088535,7.217285714285715,564.2857142857143,22.07289730286456,9.553241927158783,0.6264619639199581,0.5858369664831761,5.547238853297131
WEM,Austria,44.40733333333333,3.077699364855328,207.28966666666665,247.429,29.00430383085211,4444.7,520.5365204960999,8.553834,215.35835995360677,25.176822458047088,49.080000000000005,75.9485,172.453,240.6265,40.459503999999995,38.404903,0.9253420000000001,16.85985,7.7272185,20.561282,3.5111612115121957,3.1596984555212035,0.7608488498342306,0.9985972401888152,1.4225951901193652,33.77854289746057,23.790465844077474,30.697999054536197,86.20551836963878,0.46151989420059136,0.5199535514458936,0.7,0.7,0.5576194779421896
WEM,Bel-Lux,1,0.11198208286674133,13.464666666666666,370.5800855833334,31.44954246207762,3412.45,305.2985145622903,11.883171333333332,289.7548097243958,24.383626356678732,38.86102766666667,328.6666666666667,184.67450000000002,1194.369608,28.015424666666664,193.980327,4.29761,44.461267,5.8728370000000005,86.521278,4.611575455664983,3.6275025025104717,0.04937553316373424,1.5078068663278665,1.0955294287879784,34.30376595150241,292.6375270151918,93.77460190635485,4.15402786033906,0.36519471271374054,0.5539332995902941,3.089118715182996,3.5766601703617558,0.21531580768329578
WEM,Denmark,0,0,,169.76241124932093,30.062944502694478,3278.95,581.1447770899904,5.671993333333333,138.99546912745313,24.505576956623095,34.89333333333334,193.81500000000003,143.60366666666667,668.84,15.192055333333334,104.12376,1.0232646666666667,7.3685323333333335,16.866126333333334,78.94418933333334,4.106447365394188,3.4486692024408145,,0.6907249992216343,1.0578593001564893,45.5020920501272,,115.79477373898712,,0.32830473117238274,0.43308776940018534,1.822386841524495,2.0048770064398913,0.7337878971081148
WEM,Finland,0,0,,63.81063041641143,11.644998123316306,1191.4,218.1853771088392,5.497705666666666,128.05376441314976,23.292219005021874,8.58722544670105,76.5415,21.598447105407715,242.13899999999998,1.4460250000000001,36.1039195,0.15660400000000002,7.4124680000000005,6.9881225,32.9855765,2.5433514360497362,3.1618730712597527,,0.2596310768699928,0.37249252771432756,21.328224776445023,,120.77924868797159,,0.07990348117523821,0.06507417557503367,0.7,0.7,0.17129636649470417
WEM,Germany,100.66033333333333,0.8288471094914693,901.1666666666666,1894.332401942027,23.098654441170215,15744.599999999999,194.46619735012757,81.99133333333333,1802.702058361979,21.98649521935626,373.7906666666666,1516.1046666666668,1147.211466,2987.0329696666668,272.571684,567.687021,29.377393333333334,64.21057333333333,70.66961566666667,880.7554806666667,3.061821056539228,1.9676269189015123,3.3103226604913623,7.721448196876636,4.998544326054268,28.105167724322143,41.47315626559427,80.32603333671389,47.68325482781044,3.515370476338869,3.4579469763386963,14.252728884801462,8.94246905069184,0.42196220199194556
WEM,Greece,107.93333333333334,2.974496644295302,288.1333333333333,284.191868025038,25.8707544668364,3785.7999999999997,347.4384307373301,10.985131333333333,131.74236235791017,11.992789012740388,28.741687530517577,17.271333333333335,79.44766666666665,37.013,22.33772433333333,7.341933666666667,0.2028093333333333,2.4938556666666667,5.221252333333333,5.294429666666667,2.765103111150925,2.1792053232772925,1.0572418112536628,1.1574012877373843,1.1626956507523416,51.538762761194135,10.144435904229331,6.105226187072599,101.10081529306022,0.270312061702632,0.2398998922805816,0.16255882370347982,0.11102206463219748,1.3289687286711034
WEM,Ireland,0,0,,85.47081666632478,18.281886296678532,1214.2,263.05359532326804,4.687876333333333,118.78608419794269,25.338996968266734,1.9768176674842834,93.315,4.620513301213582,288.29833333333335,1.7707249999999999,73.24823500000001,0.06102166666666667,2.392607333333333,0.02314166666666666,1.88783,3.5450991814922044,3.1775187053749256,,0.3477614940837251,0.38390139400345813,28.282828282761805,,91.09542067904049,,0.018679422225215642,0.014029821285620823,0.8791265612317685,0.8671485365630315,0.018977819586506017
WEM,Netherlands,0.10166666666666667,0,,350,20.74932327564231,2981.55,176.81735393784123,16.930983,419.7570704163418,24.792244515061043,39.457,412.531,280.429,1355.0014999999999,34.914598,359.1501245,3.436389,12.7262105,2.111874,67.1844445,7.246344818439912,3.171873176399231,,1.4240711353499877,0.9428662759129961,35.8974358974359,,117.05771428571427,,0.36710194254584727,0.8424148622619028,3.878410424310868,4,0.23680448984382285
WEM,Sweden,0,0,,241.42436999903433,24.880781659895327,3509.2,362.0766498570233,9.794224333333334,264.98903985308465,27.055643288793156,6.390212359395345,170.69348100000002,29.195958305094404,733.6336666666666,3.6131770000000003,96.56027866666666,0.4724713333333333,15.218206666666667,3.5263259999999996,110.95261166666667,4.623223393204786,4.465416986366093,,0.9823013619590867,1.1250950883787132,49.31506849306895,,64.56183358814333,,0.06010402214160463,0.08807901485989934,1.6075189940638561,2.2001130625187852,0.1010662699324902
WEM,Switzerland,19.801,3.4835680751173705,91.12166666666667,363.8119495552002,43.687336119900465,5392.65,658.6280389933559,11.103348666666667,296.6649353811543,26.718510269948677,1.7876666666666667,248.49033333333333,144.95466666666667,1482.0206666666666,1.2269036666666668,99.068485,0.11188,18.492243333333334,0.03597033333333333,67.70396933333335,80.70595653810646,6.010078630509981,0.334680338872168,1.1089742769955497,1.8507059409932043,48.15595363532187,1.507324261014616,68.6627852576216,33.489333089179745,0.01294227552008876,0.3337693353102999,1.7570800953520378,3.36954948151009,0.18773291292705854
WEM,United Kingdom,2.4483333333333333,0.023988531379420197,4.175,1813.9440555555557,27.881798256918056,23459.4,363.7078977668544,86.74905266666666,2236.423587272242,25.78038051741847,137.366,1946.227,918.2906666666668,5918.050333333334,53.61675266666666,784.8103216666667,1.8899346666666668,136.98977466666665,37.297413666666664,479.078693,6.595835836830297,3.1150076343957536,0.015325309301970945,5.541962235911185,7.887248400584773,35.2329816129558,,107.52734305119843,0.3071601948673452,0.9969056462475748,2.1039709220057943,13.756362644889402,13.65701364925433,0.7769163968062617
WEM,Other WEM,8.036,0.7142857142857143,14,108.00709055555556,14.809278627642511,758.0499999999927,359.1527980016416,7.258,,,4.3620616666666665,111.46954032845052,21.186433325276692,571.6135570683593,2.122389,264.23331433333334,0.129144,21.828954,2.152988666666667,109.71076466666666,8.575370029202844,4.8594718684688925,0.05142435454397152,0.44007095896135423,1.2981411548068351,33.05116866708781,31.157583333333335,103.10386237340815,12.964474638534481,0.04076956361843326,0.06253977768753156,1.0466126727697007,1.6,
ECA,Bulgaria,61.666666666666664,1.549958483254913,114.83333333333333,87.92864708932835,12.241612369040785,592.6,82.02133977455728,7.183698333333334,67.47145246133691,9.392300362650284,37.307737466227216,7.047495666666666,43.21435866666667,18.390455333333335,28.809048333333333,2.671288,0.09105366666666666,0.329962,8.456025333333335,3.499845666666667,1.1521652986064763,2.7224163302411255,0.42190336852810856,0.35803159169767246,0.1960377146510365,15.530127938054447,34.738112259939925,7.979798029480551,130.25586638518737,0.3504932449042293,0.12998311056585488,0.06639062861982058,0.05542668632935943,0.8184224660440522
ECA,Croatia,25.75,2.8900112233445565,86.89999999999999,188.46786458257952,44.28439247844779,1265.4,298.36911719617865,4.248723333333334,40.47064026364128,9.525364936363143,4.066697628270467,27.444016,13.608446746297199,32.951650666666666,3.352736333333334,10.788708,0.044617333333333335,1.0220156666666667,0.6491793333333333,15.652893,3.412148985083128,1.2206783926777014,0.3187824707194193,0.7668332739802908,0.4111713670847946,53.01102629338843,4.662165601018375,11.89804959570423,44.67605137166858,0.03808348790767235,0.04105280187721772,0.25845394458714027,0.09919333525958551,0.5253334845632739
ECA,Georgia,53.800000000000004,9.627228525121556,116.2,75.07154419284397,18.724422693666117,416.05,110.97716336403445,4.011528666666667,30.37617491026758,7.572219329422943,36.90134469604492,0.18400000000000002,129.89833333333334,1.909,35.38729633333333,0.086175,0.755389,0.09461866666666667,0.7550606666666667,0.003337333333333333,3.4905893775702883,10.191192139285578,0.42649929039293116,0.30569713399681864,0.13221067306397974,37.7018890283411,32.4594384443742,0.25408489513789917,156.6152178672764,0.3487127151297687,0.3888785272149451,0.00172813856305585,0.005675261015759468,27.402233221660367
ECA,Hungary,69.57333333333334,1.5424209378407852,279.03333333333336,221.04783333333333,22.4054188605409,1207.65,122.3898213206785,9.864854333333335,87.42269933916343,8.862036517230893,63.70574933333334,26.115916,88.1135,26.4465,24.58505333333333,4.10639,5.270688,2.406881,33.39292,19.419765,1.4279799872842434,0.9529098971522838,1.0250369959431251,0.899772356385886,0.39099715230523446,30.19428814099161,22.824772444639517,11.714946849287614,127.00669544634991,0.5990882279099257,0.2645711290714693,0.24487664074222612,0.1,0.43828843753662994
ECA,Moldova,137.9,6.339497392128971,163.28333333333333,140.03628333277317,34.38717870629004,,,4.063745666666668,20.14196649013802,4.9565027298225806,116.351848,0.7996196666666666,105.83047433333331,1.6302966666666665,32.16542833333333,0.25011933333333336,2.0070196666666664,0.10288366666666666,81.70446966666667,0.4474706666666666,0.9214128717435041,2.5547424410117654,0.5999160557531872,0.5697760828454139,,50.204918032696774,71.13955578899161,0.25136342640823306,107.00798138430034,1.093941052270617,0.319475663013598,0.007550331583680135,0.0049123963363095,25.62713114046095
ECA,Romania,186.16666666666666,1.9069868521134414,365.06666666666666,420,21.37235559080976,727.15,36.51736457751414,19.654292666666667,99.57433827267026,5.066289586780529,12.421658333333333,45.02866733333334,23.768895,48.02782466666667,8.924249999999999,9.467841333333332,0.12591433333333335,2.773781666666667,2.986279666666667,32.327070666666664,1.9391277684823016,1.0925670507721528,1.3397946958459157,1.7088853624199853,0.22939473529517135,30.84455324357405,3.4249972761933463,8.132857142857143,91.47619047619048,0.11649577940380391,0.07190903993382862,0.4241709654985752,0.14481554175431188,0.18920857652708856
ECA,Russia,45,0.03608024245922933,536.6666666666666,1058.4131386881688,7.36579902494005,7555.8,52.546352020301704,143.72878433333335,1354.3162442036976,9.422721067916294,4.6218613118311564,526.3683333333333,6.723422338765462,853.9955486666667,1.5230599999999999,205.83881066666666,1.1814993333333332,29.202879333333332,0.9940130000000001,188.74409366666669,1.9266684318791452,1.6282061389712872,1.9717842333890008,4.30856083429899,2.173110763047934,12.005478147470603,0.8362933884689436,49.26522589624498,51.50505506771096,0.042875497253184465,0.020508926761927664,4.939321476000637,2.5412041108275267,0.010267629711280325
ECA,Ukraine,88,0.1974629009095261,78.968,230.5972019990776,5.124097936145135,692.5,15.328047726114724,58.408753999999995,253.25592766439044,4.335924160689859,55.6805,34.485,36.59383882141113,75.851,0.975132,17.277009,1.9335579999999999,2.709936,50.2359615,5.2681249999999995,0.6684745334441742,2.1639981423719252,0.28997477284834483,0.938248055026734,0.1934289799812658,9.137055837533653,69.92857608395471,17.361442226068352,37.686493698370036,0.517429344496376,0.11042622009168926,0.3,0.2,0.43141811022589455
ECA,Other ECA,310.6666666666667,0.45882352941176474,500.3333333333333,819.820149608724,,524.6999999999998,16.651757477969188,,,,236.04768960221352,597.673505877604,442.363762671875,1053.9515299635416,132.94692799999999,325.996447,15.532931333333332,39.18688533333333,78.69718533333334,241.81933433333333,1.8570413680958187,1.765865116018367,1.8378010901185524,3.340770832732041,2.569116685919127,10.260623098109999,47.17155871527882,73.4396375895824,61.568305033801145,2.22514334653783,1.3278514301311046,5.621182823987811,3.1589555502132303,
